,publisher,review_type,review_date,title,content_rating,genre,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,review_score,year,country,imdb_plot,imdb_score,imdb_count,review_negative,review_neutral,review_positive,review_compound,consensus_negative,consensus_neutral,consensus_positive,consensus_compound,score
277974,Boxoffice Magazine,Fresh,2010-07-05,Inception,PG-13,Action & Adventure,2010-07-16,2013-06-20,148.0,Warner Bros. Pictures,Fresh,87.0,357.0,Fresh,91.0,571078.0,100.0,2010,USA,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,88.0,2002816.0,0.0,0.582,0.418,0.7838,0.0,0.33,0.67,0.9601,87.64
278246,FilmJerk.com,Fresh,2004-09-16,Incident at Loch Ness,PG-13,Comedy,2004-09-17,2016-11-30,93.0,Eden Rock Media,Fresh,63.0,48.0,Fresh,66.0,3938.0,100.0,2004,UK,A documentary exploring the myth of the Loch Ness monster.,65.0,3860.0,0.0,0.51,0.49,0.8251,0.083,0.708,0.209,0.5106,64.8
278280,Sci-Fi Movie Page,Fresh,2000-01-01,The Incredible Shrinking Man,NR,Horror,1957-02-22,2014-02-12,81.0,MCA Universal Home Video,Fresh,92.0,26.0,Fresh,82.0,3879.0,87.5,1957,USA,"When Scott Carey begins to shrink because of exposure to a combination of radiation and insecticide, medical science is powerless to help him.",76.0,15583.0,0.05,0.579,0.372,0.8316,0.163,0.837,0.0,-0.5994,84.03
278291,Slant Magazine,Fresh,2004-07-06,The Incredibles,PG,Animation,2004-11-05,2015-11-23,115.0,Buena Vista Pictures,Fresh,97.0,248.0,Fresh,75.0,32604129.0,75.0,2004,USA,"A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.",80.0,642759.0,0.107,0.769,0.124,0.0772,0.0,0.769,0.231,0.6908,84.69
278475,We Live Entertainment,Fresh,2018-06-11,Incredibles 2,PG,Action & Adventure,2018-06-15,2018-10-23,118.0,Disney/Pixar,Fresh,93.0,379.0,Fresh,84.0,18445.0,65.0,2018,USA,"The Incredibles hero family takes on a new mission, which involves a change in family roles: Bob Parr (Mr Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.",76.0,239495.0,0.0,0.681,0.319,0.8573,0.0,0.938,0.062,0.1655,82.98
278743,Chicago Sun-Times,Fresh,2000-01-01,Indecent Proposal,R,Drama,1993-04-07,2013-08-01,117.0,Paramount Home Video,Rotten,35.0,46.0,Rotten,47.0,46399.0,75.0,1993,USA,A billionaire offers one million dollars to a young married couple for one night with the wife.,60.0,61868.0,0.03,0.937,0.033,0.0387,0.162,0.838,0.0,-0.4767,48.07
278762,News.com.au,Rotten,2016-06-21,Independence Day: Resurgence,PG-13,Action & Adventure,2016-06-24,2016-09-27,120.0,20th Century Fox,Rotten,30.0,226.0,Rotten,30.0,75088.0,40.0,2016,USA,"Two decades after the first Independence Day invasion, Earth is faced with a new extra-Solar threat. But will mankind's new space defenses be enough?",52.0,163982.0,0.081,0.746,0.173,0.5118,0.0,0.61,0.39,0.8705,38.89
278929,Chicago Sun-Times,Rotten,2000-01-01,The Indian in the Cupboard,PG,Drama,1995-07-14,2018-05-31,96.0,Sony Pictures Home Entertainment,Fresh,73.0,22.0,Rotten,40.0,60743.0,50.0,1995,USA,"Omri, a young boy growing up in Brooklyn, receives an odd variety of presents for his birthday: a wooden cabinet from his older brother, a set of antique keys from his mother and a tiny plastic model of an Indian from his best friend Patrick.",60.0,25592.0,0.121,0.879,0.0,-0.5719,0.0,0.923,0.077,0.2924,59.86
278936,Empire Magazine Australasia,Fresh,2008-05-18,Indiana Jones and the Kingdom of the Crystal Skull,PG-13,Action & Adventure,2008-05-22,2014-01-28,122.0,Paramount Pictures,Fresh,78.0,274.0,Rotten,54.0,1320715.0,80.0,2008,USA,"In 1957, archaeologist and adventurer Dr. Henry ""Indiana"" Jones, Jr. is called back into action and becomes entangled in a Soviet plot to uncover the secret behind mysterious artifacts known as the Crystal Skulls.",61.0,417120.0,0.0,0.57,0.43,0.8519,0.0,0.78,0.22,0.8008,66.27
279133,Chicago Sun-Times,Fresh,2000-01-01,Indiana Jones and the Last Crusade,PG-13,Action & Adventure,1989-05-24,2014-01-28,127.0,Paramount Pictures,Fresh,88.0,72.0,Fresh,94.0,768536.0,87.5,1989,USA,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against",82.0,676976.0,0.15,0.639,0.212,0.4767,0.0,0.777,0.223,0.7645,86.67
279170,rec.arts.movies.reviews,Fresh,2000-01-01,Indiana Jones and the Temple of Doom,PG,Action & Adventure,1984-05-23,2014-01-28,118.0,Paramount Pictures,Fresh,84.0,69.0,Fresh,81.0,716843.0,70.0,1984,USA,"In 1935, Indiana Jones arrives in India, still part of the British Empire, and is asked to find a mystical stone. He then stumbles upon a secret cult committing enslavement and human sacrifices in the catacombs of an ancient palace.",76.0,438049.0,0.0,0.667,0.333,0.8588,0.1,0.817,0.083,-0.1531,78.76
279216,Guardian,Rotten,2016-01-25,Indignation,R,Drama,2016-07-29,2016-10-25,110.0,Likely Story,Fresh,81.0,134.0,Fresh,74.0,8792.0,60.0,2016,USA,"In 1951, Marcus, a working-class Jewish student from New Jersey, attends a small Ohio college, where he struggles with sexual repression and cultural disaffection, amid the ongoing Korean War.",67.0,11330.0,0.159,0.663,0.178,0.0754,0.123,0.722,0.155,-0.0258,73.79
279314,Boxoffice Magazine,Rotten,2006-09-14,Infamous,R,Drama,2006-10-13,2008-10-21,118.0,Warner Independent Pictures,Fresh,74.0,155.0,Fresh,69.0,20725.0,50.0,2006,USA,"While researching his novel ""In Cold Blood"",",70.0,16112.0,0.0,1.0,0.0,0.0,0.0,0.925,0.075,0.2732,63.62
279576,Total Film,Rotten,2016-10-09,Inferno,PG-13,Action & Adventure,2016-10-28,2017-01-24,116.0,Sony Pictures,Rotten,23.0,250.0,Rotten,36.0,28773.0,60.0,2016,USA,"A tough, hard-driving business tycoon suffers a broken leg and is left to die in the desert by his scheming wife and her greedy lover.",71.0,1182.0,0.0,1.0,0.0,0.0,0.263,0.737,0.0,-0.6124,40.34
281080,Daily Telegraph (UK),Fresh,2014-01-19,Infinitely Polar Bear,R,Comedy,2015-06-19,2016-08-10,87.0,Sony Pictures Classics,Fresh,82.0,120.0,Fresh,71.0,11306.0,80.0,2015,USA,"A father struggling with bipolar disorder tries to win back his wife by attempting to take full responsibility of their two young, spirited daughters, who don't make the overwhelming task any easier.",70.0,14817.0,0.043,0.61,0.347,0.8989,0.142,0.858,0.0,-0.319,72.51
281166,Boxoffice Magazine,Fresh,2009-05-20,Inglourious Basterds,R,Action & Adventure,2009-08-21,2015-12-10,152.0,The Weinstein Company,Fresh,89.0,329.0,Fresh,88.0,775878.0,80.0,2009,Germany,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",83.0,1229958.0,0.218,0.782,0.0,-0.8316,0.199,0.51,0.291,0.2006,85.24
281408,The Playlist,Fresh,2017-01-21,Ingrid Goes West,R,Comedy,2017-08-25,2017-10-24,98.0,NEON,Fresh,86.0,192.0,Fresh,71.0,9241.0,91.0,2017,USA,An unhinged social media stalker moves to LA and insinuates herself into the life of an Instagram star.,66.0,34497.0,0.0,0.828,0.172,0.3612,0.0,0.701,0.299,0.7964,73.77
281532,Metro,Fresh,2014-10-04,Inherent Vice,R,Drama,2015-01-09,2016-06-28,148.0,Warner Bros. Pictures,Fresh,74.0,248.0,Rotten,52.0,32362.0,100.0,2015,USA,"In 1970, drug-fueled Los Angeles private investigator Larry ""Doc"" Sportello investigates the disappearance of a former girlfriend.",67.0,92362.0,0.0,0.826,0.174,0.765,0.087,0.679,0.234,0.8126,66.44
281708,Teletext,Fresh,2008-12-11,Inkheart,PG,Action & Adventure,2009-01-23,2011-03-01,105.0,Warner Bros. Pictures/New Line Cinema,Rotten,39.0,144.0,Rotten,45.0,166709.0,70.0,2009,Germany,"A teenage girl discovers her father has an amazing talent to bring characters out of their books and must try to stop a freed villain from destroying them all, with the help of her father, her aunt, and a storybook's hero.",61.0,72373.0,0.093,0.831,0.076,-0.128,0.0,0.847,0.153,0.4019,49.55
281817,Apollo Guide,Rotten,2003-05-09,The In-Laws,PG-13,Comedy,2003-05-23,2010-06-30,98.0,Warner Bros. Pictures,Rotten,33.0,136.0,Rotten,40.0,15746.0,64.0,2003,USA,"Right before his daughter's wedding, a mild-mannered foot doctor discovers that his future son-in-law's father is a free-wheeling international spy.",58.0,16123.0,0.125,0.651,0.223,0.2739,0.24,0.54,0.22,-0.3091,45.66
281910,Sci-Fi Movie Page,Fresh,2000-01-01,Innerspace,PG,Action & Adventure,1987-07-03,2009-01-01,119.0,Warner Bros. Pictures,Fresh,82.0,44.0,Fresh,65.0,35487.0,75.0,1987,USA,"A test pilot is miniaturized in a secret experiment, and accidentally injected into a hapless store clerk.",68.0,53141.0,0.0,0.823,0.177,0.2846,0.0,0.581,0.419,0.9136,72.16
281931,Las Vegas Weekly,Rotten,2014-09-03,Innocence,PG-13,Action & Adventure,2014-09-05,2016-11-30,96.0,Abramorama Entertainment,Rotten,19.0,26.0,Rotten,33.0,1538.0,40.0,2014,Australia,"After more than forty years apart, Andreas and Claire embark on an affair as reckless and intense as when they were young lovers. Widowed musician Andreas decides to get back in touch with ...",73.0,1885.0,0.099,0.687,0.215,0.4019,0.288,0.576,0.136,-0.4404,37.03
281982,Austin Chronicle,Rotten,2000-01-01,Innocent Blood,R,Action & Adventure,1992-09-25,2009-01-01,112.0,Warner Home Video,Rotten,39.0,23.0,Rotten,44.0,7190.0,50.0,1992,USA,"Marie is a vampire with a thirst for bad guys. When she fails to properly dispose of one of her victims, a violent mob boss, she bites off more than she can chew and faces a new, immortal danger.",62.0,9066.0,0.459,0.541,0.0,-0.9169,0.288,0.472,0.24,-0.0258,48.96
281991,Globe and Mail,Fresh,2010-09-14,Inside Job,PG-13,Documentary,2010-10-08,2012-04-16,108.0,Sony Pictures Classics,Fresh,98.0,147.0,Fresh,91.0,29619.0,100.0,2010,USA,A pair of married ex-convicts trying to go straight get jobs at a department store. A gangster who knows about their past threatens to expose it unless they agree to help him rob the department store.,59.0,138.0,0.132,0.431,0.437,0.714,0.35,0.65,0.0,-0.8201,82.74
282094,Guardian,Fresh,2013-05-18,Inside Llewyn Davis,R,Drama,2013-12-06,2014-03-11,104.0,CBS Films,Fresh,92.0,282.0,Fresh,74.0,45017.0,100.0,2013,USA,A week in the life of a young singer as he navigates the Greenwich Village folk scene of 1961.,75.0,135904.0,0.0,0.521,0.479,0.8481,0.136,0.516,0.347,0.5423,81.6
282299,EmanuelLevy.Com,Fresh,2006-03-10,Inside Man,R,Action & Adventure,2006-03-24,2016-04-03,129.0,Universal Pictures,Fresh,86.0,207.0,Fresh,85.0,351529.0,83.0,2006,USA,"A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation.",76.0,331649.0,0.0,0.734,0.266,0.8271,0.054,0.745,0.201,0.4788,80.57
282455,ScreenAnarchy,Fresh,2015-05-18,Inside Out,PG,Animation,2015-06-19,2015-11-03,95.0,Disney/Pixar,Fresh,98.0,370.0,Fresh,89.0,136789.0,91.0,2015,UK,"Thirty years after WW2, a team of former GIs and German soldiers plans to retrieve Nazi loot hidden in the Soviet occupied East Germany, its exact location only known to an imprisoned Nazi war criminal.",59.0,361.0,0.062,0.794,0.145,0.4939,0.0,0.711,0.289,0.8074,84.14
283745,Bryant Frazer's Deep Focus,Fresh,2000-01-01,The Insider,R,Drama,1999-11-05,2016-08-10,157.0,Buena Vista Pictures,Fresh,96.0,137.0,Fresh,90.0,59195.0,75.0,1999,USA,A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes exposé on Big Tobacco.,78.0,157061.0,0.0,1.0,0.0,0.0,0.0,0.484,0.516,0.8225,87.81
283822,Film Blather,Fresh,2011-03-12,Insidious,PG-13,Horror,2011-04-01,2015-06-03,101.0,FilmDistrict,Fresh,66.0,176.0,Fresh,62.0,130807.0,83.0,2011,USA,"Times are tough for talented, twenty-one year old filmmaker, Donny Rocconi. He grew up in New York City, a place where either you learn fast, or lose everything. Estranged from his mother, ...",61.0,128.0,0.213,0.787,0.0,-0.6597,0.339,0.425,0.236,-0.3976,63.02
284104,The List,Rotten,2013-09-10,Insidious: Chapter 2,PG-13,Horror,2013-09-13,2015-06-03,105.0,FilmDistrict,Rotten,39.0,128.0,Rotten,57.0,91831.0,40.0,2013,USA,"The Lamberts believe that they have defeated the spirits that have haunted their family, but they soon discover that evil is not beaten so easily.",66.0,151336.0,0.0,1.0,0.0,0.0,0.203,0.696,0.102,-0.2243,52.75
284201,Slant Magazine,Rotten,2015-06-03,Insidious: Chapter 3,PG-13,Horror,2015-06-05,2016-11-01,97.0,Focus Features,Rotten,57.0,129.0,Rotten,51.0,32527.0,50.0,2015,Canada,A prequel set before the haunting of the Lambert family that reveals how gifted psychic Elise Rainier reluctantly agrees to use her ability to contact the dead in order to help a teenage girl who has been targeted by a dangerous supernatural entity.,61.0,90827.0,0.0,1.0,0.0,0.0,0.0,0.685,0.315,0.8019,56.23
284297,The Tracking Board,Rotten,2018-01-03,Insidious: The Last Key,PG-13,Horror,2018-01-05,2018-03-15,103.0,Universal Pictures,Rotten,33.0,111.0,Rotten,51.0,5851.0,50.0,2018,USA,"Parapsychologist Dr. Elise Rainier faces her most fearsome and personal haunting yet, as she is drawn back to her ghostly childhood home, where the terror began.",57.0,50294.0,0.121,0.569,0.309,0.6059,0.117,0.755,0.128,-0.1663,48.18
284376,Rochester Democrat and Chronicle,Rotten,2000-01-01,Inspector Gadget,PG,Action & Adventure,1999-07-23,2016-06-10,77.0,Walt Disney Pictures,Rotten,21.0,63.0,Rotten,18.0,275618.0,40.0,1999,USA,A security guard's dreams come true when he is selected to be transformed into a cybernetic police officer.,41.0,44636.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,29.42
284396,Flickering Myth,Fresh,2018-11-14,Instant Family,PG-13,Comedy,2018-11-16,2019-02-19,119.0,Paramount Pictures,Fresh,80.0,152.0,Fresh,82.0,3498.0,60.0,2018,USA,A couple find themselves in over their heads when they foster three children.,73.0,76885.0,0.061,0.519,0.42,0.8225,0.0,0.799,0.201,0.7783,75.4
284515,Digital Spy,Rotten,2015-03-11,Insurgent,PG-13,Action & Adventure,2015-03-20,2016-08-27,118.0,Lionsgate Films,Rotten,28.0,205.0,Rotten,58.0,76585.0,40.0,2015,USA,Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart with the help from others on her side.,62.0,212844.0,0.157,0.745,0.098,-0.1285,0.139,0.861,0.0,-0.5719,49.81
284668,Cinenganos,Fresh,2002-02-04,Intacto,R,Art House & International,2002-12-20,2017-03-01,108.0,Lions Gate Films,Fresh,72.0,72.0,Fresh,82.0,8058.0,85.0,2002,Spain,An enigmatic tale of four incredibly lucky people whose lives are intertwined by destiny are subject to the laws of fate. They discover that they cannot afford to be without luck as they ...,69.0,12649.0,0.0,1.0,0.0,0.0,0.0,0.796,0.204,0.3182,71.98
284721,BBC.com,Fresh,2003-09-16,Intermission,R,Comedy,2003-08-01,2016-11-30,103.0,IFC Films,Fresh,73.0,96.0,Fresh,75.0,10429.0,80.0,2003,Ireland,"A variety of losers in Dublin have harrowingly farcical intersecting stories of love, greed and violence.",68.0,15077.0,0.0,0.854,0.146,0.4404,0.0,0.633,0.367,0.4404,71.01
284794,EmanuelLevy.Com,Rotten,2009-02-06,The International,R,Drama,2009-02-13,2014-02-12,118.0,Columbia Pictures,Rotten,58.0,211.0,Rotten,37.0,165448.0,50.0,2009,USA,An Interpol agent attempts to expose a high-profile financial institution's role in an international arms dealing ring.,65.0,90126.0,0.233,0.682,0.085,-0.7355,0.0,0.899,0.101,0.2023,55.16
284956,Shadows on the Wall,Fresh,2005-04-05,The Interpreter,PG-13,Action & Adventure,2005-04-22,2014-02-12,123.0,Universal Pictures,Rotten,57.0,195.0,Rotten,54.0,79262.0,80.0,2005,UK,"Political intrigue and deception unfold inside the United Nations, where a U.S. Secret Service agent is assigned to investigate an interpreter who overhears an assassination plot.",64.0,96245.0,0.087,0.867,0.045,-0.2523,0.0,0.614,0.386,0.5267,60.22
285105,CinemaBlend,Rotten,2014-10-27,Interstellar,PG-13,Action & Adventure,2014-11-07,2016-05-24,165.0,Paramount Pictures,Fresh,72.0,364.0,Fresh,86.0,175957.0,50.0,2014,USA,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,86.0,1449256.0,0.0,0.791,0.209,0.5789,0.0,0.77,0.23,0.7759,78.82
285362,Compuserve,Rotten,2002-09-25,Interview with the Assassin,R,Drama,2002-05-09,2017-03-23,88.0,Magnolia Pictures,Fresh,66.0,58.0,Rotten,56.0,1318.0,50.0,2002,USA,"Almost forty years after the John F. Kennedy assassination, an ex-Marine named Walter Ohlinger has come forward with a startling claim.",65.0,1744.0,0.109,0.891,0.0,-0.3506,0.0,1.0,0.0,0.0,63.41
285402,Shadows on the Wall,Fresh,2005-06-23,Into the Blue,PG-13,Action & Adventure,2005-09-30,2016-06-02,110.0,Sony Pictures,Rotten,21.0,125.0,Rotten,57.0,326604.0,60.0,2005,USA,A group of divers find themselves in deep trouble with a drug lord after they come upon the illicit cargo of a sunken airplane.,59.0,72713.0,0.0,0.718,0.282,0.6249,0.0,1.0,0.0,0.0,45.33
285497,New York Times,Rotten,2003-05-20,Into the Night,R,Action & Adventure,1985-02-22,2016-02-10,115.0,Universal,Rotten,38.0,24.0,Rotten,49.0,3421.0,30.0,1985,USA,"After discovering that his wife is cheating on him, an insomniac aerospace engineer accidentally meets, and tries to help a beautiful model on the run from some extremely dangerous people.",65.0,10795.0,0.0,0.96,0.04,0.2382,0.0,1.0,0.0,0.0,48.08
285503,Compuserve,Fresh,2007-09-04,Into the Wild,R,Action & Adventure,2007-10-19,2013-08-01,147.0,Paramount Vantage,Fresh,83.0,198.0,Fresh,89.0,179452.0,83.0,2007,USA,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",81.0,560692.0,0.0,1.0,0.0,0.0,0.0,0.808,0.192,0.6908,83.1
285653,Entertainment Weekly,Fresh,2014-12-17,Into the Woods,PG,Kids & Family,2014-12-24,2015-11-05,124.0,Walt Disney Pictures,Fresh,71.0,221.0,Rotten,49.0,96108.0,67.0,2014,USA,A witch tasks a childless baker and his wife with procuring magical items from classic fairy tales to reverse the curse put on their family tree.,59.0,129755.0,0.0,0.586,0.414,0.9001,0.0,0.915,0.085,0.4215,61.46
285824,Hollywood Report Card,Fresh,2003-03-13,Intolerable Cruelty,PG-13,Comedy,2003-10-10,2015-07-22,100.0,Universal Pictures,Fresh,75.0,186.0,Rotten,48.0,66665.0,75.0,2003,USA,A beautiful gold digger matches wits with a shrewd Beverly Hills divorce lawyer who is increasingly attracted to her.,62.0,89972.0,0.15,0.748,0.103,-0.128,0.0,0.787,0.213,0.6597,63.82
285963,Bloody Disgusting,Fresh,2011-09-14,Intruders,R,Horror,2012-03-30,2017-05-22,99.0,Millennium Entertainment,Rotten,32.0,73.0,Rotten,23.0,5827.0,50.0,2012,USA,Two children living in different countries are visited nightly by a faceless being who wants to take possession of them.,54.0,19933.0,0.0,1.0,0.0,0.0,0.165,0.614,0.22,0.1134,39.67
286021,EmanuelLevy.Com,Rotten,2007-08-11,The Invasion,PG-13,Horror,2007-08-17,2009-12-01,99.0,Warners Bros. Pictures,Rotten,19.0,164.0,Rotten,40.0,236139.0,42.0,2007,USA,"As a Washington, D.C. psychiatrist unearths the origin of an alien epidemic, she also discovers her son might be the only way it can be stopped.",59.0,73771.0,0.093,0.843,0.065,-0.25,0.0,0.772,0.228,0.5023,41.66
286144,ComingSoon.net,Fresh,2009-09-14,The Invention of Lying,PG-13,Comedy,2009-10-02,2011-07-01,99.0,Warner Bros. Pictures,Rotten,56.0,188.0,Rotten,39.0,667296.0,70.0,2009,USA,"A comedy set in a world where no one has ever lied, until a writer seizes the opportunity for personal gain.",64.0,122986.0,0.131,0.45,0.419,0.6597,0.129,0.616,0.255,0.3612,55.22
286477,Long Island Press,Rotten,2000-01-01,The Invisible Circus,R,Drama,2001-02-02,2016-06-28,92.0,New Line Cinema,Rotten,22.0,63.0,Rotten,44.0,3697.0,60.0,2001,USA,"A teenage girl travels to Paris in the 1970s trying to find out about her sister's suicide, and falls in love with her dead sister's boyfriend.",56.0,2888.0,0.121,0.804,0.075,-0.2263,0.153,0.764,0.083,-0.3187,42.6
286778,Compuserve,Fresh,2000-01-01,The Iron Giant,PG,Animation,1999-07-01,2008-04-03,86.0,Warner Bros. Pictures,Fresh,96.0,143.0,Fresh,90.0,204843.0,90.0,1999,USA,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,80.0,168313.0,0.0,0.572,0.428,0.6696,0.0,0.643,0.357,0.875,87.76
286854,Three Movie Buffs,Fresh,2008-04-14,Iron Man,PG-13,Action & Adventure,2008-04-14,2015-11-23,126.0,Paramount Pictures,Fresh,94.0,279.0,Fresh,91.0,1083059.0,87.5,2008,USA,Prizefighter Mason loses his opening fight so wife Rose leaves him for Hollywood. Without her around Mason trains and starts winning. Rose comes back and wants Mason to dump his manager Regan and replace him with her secret lover Lewis.,61.0,213.0,0.0,0.847,0.153,0.4404,0.0,0.576,0.424,0.91,83.01
287487,Los Angeles Times,Fresh,2010-04-07,Iron Man 2,PG-13,Action & Adventure,2010-05-07,2015-11-23,124.0,Paramount Studios,Fresh,72.0,300.0,Fresh,71.0,480879.0,50.0,2010,USA,"With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.",70.0,706284.0,0.0,0.813,0.187,0.3182,0.0,0.861,0.139,0.3716,70.03
287720,Total Film,Fresh,2011-02-24,Ironclad,R,Action & Adventure,2011-07-08,2016-10-01,121.0,Arc Entertainment,Rotten,42.0,55.0,Rotten,41.0,10942.0,60.0,2011,UK,"In thirteenth-century England, a Knights Templar and a few of the Barons men fight to defend Rochester Castle against the tyrannical King John.",61.0,39815.0,0.193,0.807,0.0,-0.7579,0.0,0.86,0.14,0.5023,49.22
287764,Chicago Sun-Times,Fresh,2000-01-01,Ironweed,R,Art House & International,1987-12-18,2017-01-01,141.0,Vestron Video,Rotten,58.0,24.0,Rotten,59.0,2818.0,75.0,1987,USA,"An alcoholic drifter spends Halloween in his home town of Albany, New York after returning there for the first time in decades.",67.0,8227.0,0.0,0.774,0.226,0.7543,0.0,0.802,0.198,0.5339,62.14
287771,Guardian,Rotten,2015-05-15,Irrational Man,R,Drama,2015-07-17,2016-08-10,94.0,Sony Pictures Classics,Rotten,47.0,201.0,Rotten,46.0,6606.0,40.0,2015,USA,A tormented philosophy professor finds a will to live when he commits an existential act.,66.0,57091.0,0.057,0.697,0.246,0.6311,0.063,0.775,0.162,0.4012,53.87
287909,Punch Drunk Critics,Rotten,2020-06-22,Irresistible,R,Comedy,2020-06-26,2020-06-26,101.0,Focus Features,Rotten,40.0,216.0,Fresh,66.0,558.0,50.0,2020,Australia,A wife and mother is consumed by the thought that her husband's co-worker is trying to win him away from her and their family.,57.0,5810.0,0.104,0.765,0.131,0.128,0.096,0.719,0.185,0.2144,54.8
288217,JoBlo's Movie Network,Fresh,2002-06-04,Irréversible,NR,Art House & International,2002-01-01,2016-09-01,94.0,Mars Films,Rotten,57.0,122.0,Fresh,80.0,45443.0,70.0,2002,France,Events over the course of one traumatic night in Paris unfold in reverse-chronological order as the beautiful Alex is brutally raped and beaten by a stranger in the underpass.,74.0,116690.0,0.084,0.724,0.192,0.5927,0.457,0.543,0.0,-0.7096,67.35
288302,Reel Film Reviews,Fresh,2008-10-28,Is Anybody There?,PG-13,Comedy,2009-04-17,2016-02-19,92.0,Big Beach Films,Fresh,65.0,117.0,Rotten,55.0,5802.0,75.0,2009,UK,"Set in 1980s seaside England, this is the story of Edward, an unusual ten-year-old boy growing up in an old people's home run by his parents. While his mother struggles to keep the family ...",67.0,4633.0,0.0,1.0,0.0,0.0,0.0,0.802,0.198,0.5719,63.25
288391,Chicago Sun-Times,Rotten,2000-01-01,Ishtar,PG-13,Action & Adventure,1987-05-15,2013-08-06,107.0,Sony Pictures Home Entertainment,Rotten,37.0,54.0,Rotten,39.0,5011.0,12.5,1987,USA,"Two terrible lounge singers get booked to play a gig in a Moroccan hotel but somehow become pawns in an international power play between the C.I.A., the Emir of Ishtar, and the rebels trying to overthrow his regime.",44.0,10110.0,0.316,0.408,0.276,-0.2023,0.073,0.825,0.102,0.2263,41.32
288416,indieWire,Fresh,2018-02-15,Isle of Dogs,PG-13,Action & Adventure,2018-04-13,2018-06-27,101.0,Scott Rudin Productions,Fresh,90.0,358.0,Fresh,87.0,9059.0,83.0,2018,UK,"When London gangland boss Darius Deel discovers his new trophy-wife Nadia is having an affair, he hunts down her lover Riley and a deadly game begins.",35.0,511.0,0.163,0.837,0.0,-0.5719,0.0,0.637,0.363,0.9182,78.61
288906,Common Sense Media,Fresh,2019-02-12,Isn't It Romantic,PG-13,Comedy,2019-02-13,2019-04-30,88.0,New Line Cinema,Fresh,70.0,175.0,Rotten,47.0,3003.0,80.0,2019,USA,A young woman disenchanted with love mysteriously finds herself trapped inside a romantic comedy.,59.0,60192.0,0.0,0.294,0.706,0.8625,0.169,0.831,0.0,-0.5976,59.39
289025,CinemaSense.Com,Rotten,2000-01-01,Isn't She Great,R,Comedy,2000-01-28,2015-09-10,93.0,Universal Studios Home Video,Rotten,25.0,61.0,Rotten,38.0,2630.0,62.5,2000,UK,"An unsuccessful over-the-top actress becomes a successful over-the-top author in this biography of Jacqueline Susann, the famed writer of ""Valley of the Dolls"" and other trashy novels. ...",54.0,2246.0,0.187,0.478,0.335,0.3409,0.0,1.0,0.0,0.0,40.02
289042,Dennis Schwartz Movie Reviews,Fresh,2001-08-31,It Came from Outer Space,G,Classics,1953-10-23,2015-09-10,81.0,Universal Pictures,Fresh,79.0,28.0,Rotten,54.0,3771.0,67.0,1953,USA,A spaceship from another world crashes in the Arizona desert and only an amateur stargazer and a schoolteacher suspect alien influence when the local townsfolk begin to act strangely.,65.0,8388.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,68.01
289053,CineXpress,Fresh,2017-09-06,It,R,Drama,2017-09-08,2017-12-19,135.0,Warner Bros. Pictures,Fresh,85.0,377.0,Fresh,84.0,67307.0,80.0,2017,USA,"A salesgirl with plenty of ""it"" (sex appeal) pursues a handsome playboy.",73.0,2912.0,0.139,0.861,0.0,-0.5719,0.209,0.725,0.066,-0.6923,78.74
289575,Daily Telegraph (UK),Fresh,2014-05-18,It Follows,R,Horror,2015-04-03,2016-11-30,101.0,Radius-TWC,Fresh,95.0,259.0,Fresh,66.0,45159.0,100.0,2015,USA,A young woman is followed by an unknown supernatural force after a sexual encounter.,68.0,203299.0,0.39,0.61,0.0,-0.4939,0.228,0.617,0.154,-0.5267,77.62
289753,ReelViews,Fresh,1934-02-22,It Happened One Night,NR,Classics,1934-02-22,2012-04-16,105.0,Sony Pictures Home Entertainment,Fresh,98.0,60.0,Fresh,93.0,33678.0,87.5,1934,USA,A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story.,81.0,91400.0,0.089,0.749,0.162,0.6124,0.0,0.688,0.312,0.8225,90.86
